"[0.8178616274703796, 0.3738154408375988, 0.07888405657717532]","[0.7070854348495438, 0.3644788320395452, 0.07938853730951308]","[0.6873359998701478, 0.3629334884583097, 0.07948155923051363]","[0.6668540383836592, 0.3613308265215372, 0.07957803142859549]","[0.6456953808425984, 0.3596752148216173, 0.07967769093643963]","[0.6239258882934904, 0.3579718068196864, 0.07978022754157477]","[0.6016209239072214, 0.35622649949418855, 0.07988528627551988]","[0.5788645299910653, 0.35444586894414504, 0.0799924712901459]","[0.5557483192906917, 0.3526370836363331, 0.08010135107976221]","[0.5323701046957838, 0.35080779718319294, 0.08021146493534603]","[0.5088323064438531, 0.3489660237105334, 0.08032233044677936]","[0.48524018931386975, 0.3471199999223794, 0.08043345180585589]","[0.4616999929124954, 0.3452780388005632, 0.08054432861282639]","[0.4383170249860211, 0.3434483804111903, 0.08065446485710273]","[0.41519379008051466, 0.341639045477004, 0.08076337773146548]","[0.3924282235880275, 0.3398576971959466, 0.08087060594989269]","[0.37011209448108134, 0.3381115162591551, 0.08097571727084915]","[0.34832962950194307, 0.33640709319722567, 0.08107831497749805]","[0.32715639822634723, 0.3347503411392604, 0.08117804312916903]","[0.3066584834623068, 0.3331464308986683, 0.08127459046886937]"
"[0.7260567830623974, 0.36596329228960844, 0.07929918025921928]","[0.7070854348495421, 0.36447883203954434, 0.0793885373095129]","[0.6873359998701492, 0.36293348845830953, 0.07948155923051356]","[0.6668540383836548, 0.36133082652153486, 0.07957803142859489]","[0.6456953808425995, 0.35967521482161796, 0.07967769093643978]","[0.6239258882934917, 0.3579718068196856, 0.07978022754157466]","[0.6016209239072174, 0.3562264994941871, 0.07988528627551948]","[0.5788645299910641, 0.3544458689441449, 0.07999247129014585]","[0.5557483192906887, 0.3526370836363309, 0.08010135107976174]","[0.5323701046957785, 0.3508077971831902, 0.08021146493534538]","[0.5088323064438546, 0.34896602371053426, 0.08032233044677953]","[0.4852401893138709, 0.3471199999223807, 0.08043345180585613]","[0.46169999291249475, 0.3452780388005624, 0.08054432861282614]","[0.43831702498602, 0.34344838041119036, 0.08065446485710273]","[0.41519379008051416, 0.3416390454770034, 0.08076337773146534]","[0.3924282235880329, 0.3398576971959511, 0.08087060594989373]","[0.37011209448107973, 0.3381115162591534, 0.08097571727084876]","[0.34832962950193924, 0.33640709319722223, 0.08107831497749718]","[0.3271563982263462, 0.3347503411392594, 0.08117804312916879]","[0.3066584834623084, 0.33314643089866935, 0.08127459046886966]"
"[0.7260567830623973, 0.36596329228960867, 0.07929918025921934]","[0.7070854348495456, 0.36447883203954556, 0.07938853730951313]","[0.6873359998701506, 0.3629334884583103, 0.07948155923051374]","[0.6668540383836576, 0.3613308265215362, 0.07957803142859522]","[0.645695380842599, 0.3596752148216179, 0.07967769093643977]","[0.6239258882934914, 0.35797180681968643, 0.07978022754157477]","[0.6016209239072214, 0.356226499494189, 0.07988528627552]","[0.5788645299910649, 0.35444586894414554, 0.07999247129014601]","[0.5557483192906926, 0.35263708363633356, 0.0801013510797624]","[0.5323701046957798, 0.35080779718319066, 0.08021146493534553]","[0.5088323064438515, 0.3489660237105325, 0.08032233044677906]","[0.48524018931387075, 0.34711999992238035, 0.08043345180585612]","[0.46169999291249336, 0.34527803880056124, 0.08054432861282584]","[0.43831702498601743, 0.3434483804111881, 0.08065446485710219]","[0.4151937900805163, 0.3416390454770047, 0.08076337773146568]","[0.3924282235880315, 0.3398576971959505, 0.08087060594989362]","[0.3701120944810815, 0.33811151625915487, 0.08097571727084911]","[0.34832962950194274, 0.33640709319722517, 0.08107831497749793]","[0.3271563982263456, 0.334750341139259, 0.08117804312916863]","[0.30665848346230595, 0.3331464308986673, 0.08127459046886915]"
"[0.7260567830624012, 0.36596329228961033, 0.0792991802592197]","[0.7070854348495431, 0.36447883203954484, 0.079388537309513]","[0.6873359998701501, 0.3629334884583105, 0.07948155923051377]","[0.6668540383836591, 0.3613308265215368, 0.07957803142859537]","[0.645695380842598, 0.35967521482161774, 0.0796776909364397]","[0.6239258882934937, 0.35797180681968704, 0.07978022754157493]","[0.601620923907221, 0.35622649949418866, 0.07988528627551988]","[0.5788645299910629, 0.35444586894414465, 0.07999247129014576]","[0.5557483192906929, 0.3526370836363335, 0.0801013510797624]","[0.5323701046957827, 0.3508077971831919, 0.0802114649353458]","[0.5088323064438551, 0.3489660237105343, 0.08032233044677953]","[0.4852401893138649, 0.3471199999223762, 0.08043345180585512]","[0.46169999291249303, 0.3452780388005617, 0.08054432861282602]","[0.4383170249860213, 0.34344838041119147, 0.08065446485710301]","[0.4151937900805178, 0.3416390454770057, 0.08076337773146589]","[0.39242822358802987, 0.3398576971959488, 0.08087060594989316]","[0.3701120944810815, 0.33811151625915503, 0.08097571727084917]","[0.3483296295019408, 0.3364070931972236, 0.08107831497749757]","[0.32715639822634385, 0.3347503411392566, 0.0811780431291681]","[0.30665848346230834, 0.33314643089866947, 0.08127459046886973]"
"[0.7260567830623966, 0.365963292289608, 0.07929918025921916]","[0.7070854348495439, 0.3644788320395453, 0.07938853730951308]","[0.6873359998701462, 0.36293348845830875, 0.0794815592305134]","[0.6668540383836551, 0.3613308265215354, 0.07957803142859507]","[0.6456953808425967, 0.3596752148216169, 0.0796776909364395]","[0.6239258882934957, 0.3579718068196888, 0.07978022754157531]","[0.6016209239072196, 0.356226499494188, 0.0798852862755198]","[0.5788645299910602, 0.35444586894414265, 0.07999247129014539]","[0.5557483192906926, 0.352637083636333, 0.08010135107976225]","[0.5323701046957826, 0.3508077971831923, 0.08021146493534592]","[0.5088323064438548, 0.3489660237105347, 0.0803223304467797]","[0.48524018931386576, 0.34711999992237635, 0.08043345180585515]","[0.46169999291249275, 0.3452780388005614, 0.08054432861282591]","[0.43831702498602026, 0.34344838041119025, 0.08065446485710266]","[0.41519379008051416, 0.34163904547700347, 0.08076337773146536]","[0.3924282235880291, 0.33985769719594855, 0.08087060594989307]","[0.3701120944810814, 0.33811151625915536, 0.0809757172708492]","[0.3483296295019396, 0.3364070931972224, 0.08107831497749729]","[0.3271563982263442, 0.33475034113925717, 0.08117804312916824]","[0.3066584834623062, 0.3331464308986676, 0.08127459046886923]"
"[0.7260567830623961, 0.36596329228960817, 0.0792991802592192]","[0.7070854348495429, 0.36447883203954384, 0.0793885373095128]","[0.6873359998701472, 0.3629334884583089, 0.07948155923051349]","[0.6668540383836565, 0.3613308265215349, 0.07957803142859499]","[0.645695380842603, 0.3596752148216199, 0.0796776909364402]","[0.6239258882934954, 0.35797180681968854, 0.07978022754157525]","[0.6016209239072164, 0.35622649949418617, 0.07988528627551936]","[0.5788645299910653, 0.3544458689441457, 0.07999247129014607]","[0.5557483192906901, 0.3526370836363319, 0.08010135107976198]","[0.5323701046957838, 0.3508077971831924, 0.08021146493534591]","[0.5088323064438554, 0.3489660237105352, 0.08032233044677982]","[0.4852401893138665, 0.3471199999223765, 0.08043345180585516]","[0.46169999291249564, 0.34527803880056257, 0.08054432861282618]","[0.4383170249860197, 0.34344838041119036, 0.08065446485710273]","[0.4151937900805124, 0.3416390454770019, 0.08076337773146498]","[0.39242822358802976, 0.3398576971959481, 0.08087060594989304]","[0.3701120944810844, 0.3381115162591577, 0.08097571727084978]","[0.3483296295019412, 0.3364070931972245, 0.08107831497749775]","[0.32715639822634507, 0.33475034113925806, 0.08117804312916851]","[0.30665848346230545, 0.3331464308986672, 0.0812745904688691]"
"[0.7260567830624007, 0.3659632922896095, 0.07929918025921955]","[0.7070854348495448, 0.36447883203954606, 0.07938853730951323]","[0.6873359998701514, 0.3629334884583113, 0.07948155923051396]","[0.666854038383659, 0.36133082652153686, 0.07957803142859537]","[0.6456953808426011, 0.3596752148216192, 0.07967769093644006]","[0.6239258882934913, 0.3579718068196864, 0.0797802275415748]","[0.6016209239072176, 0.35622649949418644, 0.0798852862755194]","[0.5788645299910615, 0.35444586894414376, 0.07999247129014561]","[0.5557483192906918, 0.35263708363633267, 0.0801013510797622]","[0.5323701046957835, 0.3508077971831927, 0.08021146493534605]","[0.5088323064438519, 0.3489660237105322, 0.08032233044677911]","[0.48524018931387, 0.34711999992237935, 0.08043345180585584]","[0.4616999929124926, 0.3452780388005606, 0.08054432861282575]","[0.4383170249860217, 0.34344838041119086, 0.08065446485710286]","[0.4151937900805163, 0.34163904547700524, 0.08076337773146575]","[0.3924282235880281, 0.33985769719594694, 0.08087060594989276]","[0.3701120944810822, 0.3381115162591561, 0.08097571727084936]","[0.3483296295019417, 0.3364070931972248, 0.08107831497749782]","[0.32715639822634707, 0.33475034113925983, 0.08117804312916886]","[0.3066584834623066, 0.33314643089866797, 0.08127459046886937]"
"[0.7260567830624002, 0.365963292289609, 0.0792991802592194]","[0.7070854348495464, 0.3644788320395463, 0.07938853730951335]","[0.6873359998701497, 0.3629334884583102, 0.07948155923051373]","[0.6668540383836558, 0.36133082652153553, 0.07957803142859506]","[0.6456953808425988, 0.3596752148216177, 0.07967769093643973]","[0.6239258882934954, 0.3579718068196885, 0.07978022754157528]","[0.6016209239072186, 0.35622649949418767, 0.07988528627551965]","[0.5788645299910634, 0.3544458689441447, 0.07999247129014579]","[0.5557483192906908, 0.3526370836363321, 0.08010135107976202]","[0.5323701046957785, 0.35080779718318966, 0.08021146493534534]","[0.5088323064438522, 0.34896602371053265, 0.08032233044677918]","[0.48524018931386875, 0.3471199999223789, 0.08043345180585573]","[0.46169999291249053, 0.3452780388005594, 0.08054432861282547]","[0.4383170249860193, 0.3434483804111897, 0.08065446485710255]","[0.4151937900805121, 0.34163904547700213, 0.08076337773146502]","[0.3924282235880319, 0.33985769719595105, 0.08087060594989365]","[0.3701120944810813, 0.33811151625915503, 0.08097571727084915]","[0.3483296295019417, 0.3364070931972248, 0.08107831497749778]","[0.32715639822634635, 0.3347503411392592, 0.08117804312916874]","[0.30665848346230656, 0.3331464308986681, 0.08127459046886935]"
"[0.7260567830623975, 0.36596329228960855, 0.0792991802592193]","[0.7070854348495443, 0.3644788320395454, 0.07938853730951316]","[0.6873359998701478, 0.36293348845830975, 0.07948155923051366]","[0.6668540383836572, 0.3613308265215361, 0.07957803142859525]","[0.6456953808426016, 0.3596752148216192, 0.07967769093644]","[0.623925888293491, 0.35797180681968643, 0.07978022754157475]","[0.6016209239072191, 0.3562264994941877, 0.07988528627551968]","[0.5788645299910634, 0.3544458689441447, 0.07999247129014579]","[0.5557483192906894, 0.3526370836363312, 0.08010135107976185]","[0.5323701046957819, 0.35080779718319155, 0.0802114649353457]","[0.508832306443852, 0.3489660237105326, 0.08032233044677917]","[0.48524018931387075, 0.34711999992237985, 0.08043345180585597]","[0.46169999291249203, 0.3452780388005605, 0.08054432861282575]","[0.4383170249860176, 0.34344838041118847, 0.0806544648571023]","[0.4151937900805144, 0.3416390454770031, 0.08076337773146526]","[0.39242822358803114, 0.33985769719594944, 0.08087060594989338]","[0.37011209448107935, 0.33811151625915353, 0.08097571727084879]","[0.3483296295019421, 0.3364070931972255, 0.08107831497749798]","[0.3271563982263447, 0.3347503411392583, 0.08117804312916851]","[0.3066584834623071, 0.3331464308986684, 0.08127459046886948]"
"[0.7260567830623986, 0.3659632922896089, 0.07929918025921934]","[0.7070854348495439, 0.36447883203954573, 0.07938853730951322]","[0.6873359998701489, 0.3629334884583102, 0.07948155923051373]","[0.6668540383836591, 0.3613308265215366, 0.07957803142859535]","[0.6456953808426028, 0.35967521482162, 0.0796776909364402]","[0.6239258882934936, 0.3579718068196871, 0.07978022754157493]","[0.6016209239072191, 0.3562264994941876, 0.07988528627551966]","[0.57886452999106, 0.3544458689441426, 0.07999247129014539]","[0.5557483192906912, 0.35263708363633217, 0.08010135107976198]","[0.5323701046957832, 0.3508077971831926, 0.080211464935346]","[0.5088323064438547, 0.3489660237105342, 0.08032233044677965]","[0.4852401893138672, 0.3471199999223774, 0.08043345180585534]","[0.4616999929124907, 0.34527803880055963, 0.0805443286128255]","[0.4383170249860173, 0.34344838041118747, 0.08065446485710209]","[0.41519379008051416, 0.3416390454770034, 0.08076337773146532]","[0.39242822358803237, 0.3398576971959505, 0.08087060594989363]","[0.3701120944810814, 0.338111516259155, 0.08097571727084915]","[0.3483296295019425, 0.336407093197225, 0.08107831497749793]","[0.3271563982263435, 0.3347503411392572, 0.08117804312916828]","[0.30665848346230856, 0.3331464308986699, 0.08127459046886971]"
